,,,,,,,,,,,
nSamples,,,,,,,deltaT 10 rots,,,,
1517,,,,,,,8.4,,,,
,,,,,,,,,,,
duration (s),,Time (s),Acceleration (m/s2),,,,T,,,,
30.340,,t ,x,y ,z,,0.84,,,,
,,9.263,2.402,-0.684,9.106,,,,,,
,,9.283,2.369,-0.794,9.183,,,,,,
,,9.304,2.292,-0.708,9.173,,,,,,
,,9.324,2.273,-0.675,9.202,,,,,,
,,9.344,2.249,-0.703,9.269,,,,,,
,,9.365,2.196,-0.746,9.202,,,,,,
,,9.385,2.187,-0.785,9.140,,,,,,
,,9.405,2.129,-0.737,9.216,,,,,,
,,9.426,2.110,-0.708,9.235,,,,,,
,,9.446,2.153,-0.632,9.226,,,,,,
,,9.467,2.153,-0.507,9.216,,,,,,
,,9.487,2.196,-0.555,9.192,,,,,,
,,9.507,2.239,-0.541,9.216,,,,,,
,,9.528,2.206,-0.488,9.173,,,,,,
,,9.548,2.177,-0.412,9.173,,,,,,
,,9.568,2.230,-0.349,9.207,,,,,,
,,9.589,2.211,-0.445,9.216,,,,,,
,,9.609,2.196,-0.435,9.216,,,,,,
,,9.630,2.283,-0.349,9.192,,,,,,
,,9.650,2.316,-0.292,9.173,,,,,,
,,9.670,2.292,-0.225,9.149,,,,,,
,,9.691,2.297,-0.148,9.168,,,,,,
,,9.711,2.417,-0.139,9.168,,,,,,
,,9.731,2.450,-0.206,9.168,,,,,,
,,9.752,2.402,-0.196,9.173,,,,,,
,,9.772,2.512,-0.239,9.168,,,,,,
,,9.793,2.579,-0.230,9.159,,,,,,
,,9.813,2.565,-0.182,9.207,,,,,,
,,9.833,2.651,-0.225,9.202,,,,,,
,,9.854,2.665,-0.225,9.106,,,,,,
,,9.874,2.675,-0.335,9.149,,,,,,
,,9.894,2.771,-0.378,9.140,,,,,,
,,9.915,2.732,-0.225,9.125,,,,,,
,,9.935,2.699,-0.230,9.130,,,,,,
,,9.956,2.689,-0.316,9.082,,,,,,
,,9.976,2.622,-0.306,9.087,,,,,,
,,9.996,2.589,-0.412,9.173,,,,,,
,,10.017,2.570,-0.512,9.202,,,,,,
,,10.037,2.555,-0.512,9.183,,,,,,
,,10.057,2.546,-0.584,9.159,,,,,,
,,10.078,2.512,-0.694,9.149,,,,,,
,,10.098,2.426,-0.718,9.216,,,,,,
,,10.118,2.393,-0.708,9.245,,,,,,
,,10.139,2.426,-0.703,9.226,,,,,,
,,10.159,2.436,-0.665,9.235,,,,,,
,,10.180,2.369,-0.641,9.226,,,,,,
,,10.200,2.359,-0.703,9.226,,,,,,
,,10.220,2.330,-0.751,9.207,,,,,,
,,10.241,2.144,-0.703,9.168,,,,,,
,,10.261,2.134,-0.708,9.140,,,,,,
,,10.281,2.273,-0.804,9.149,,,,,,
,,10.302,2.283,-0.828,9.192,,,,,,
,,10.322,2.273,-0.751,9.097,,,,,,
,,10.343,2.292,-0.660,9.149,,,,,,
,,10.363,2.283,-0.632,9.293,,,,,,
,,10.383,2.297,-0.608,9.097,,,,,,
,,10.404,2.316,-0.531,9.149,,,,,,
,,10.424,2.206,-0.488,9.293,,,,,,
,,10.444,2.211,-0.435,9.054,,,,,,
,,10.465,2.316,-0.378,9.130,,,,,,
,,10.485,2.254,-0.378,9.355,,,,,,
,,10.506,2.292,-0.392,9.087,,,,,,
,,10.526,2.450,-0.378,8.963,,,,,,
,,10.546,2.426,-0.282,9.278,,,,,,
,,10.567,2.417,-0.258,9.250,,,,,,
,,10.587,2.613,-0.215,8.987,,,,,,
,,10.607,2.570,-0.110,9.173,,,,,,
,,10.628,2.469,-0.153,9.326,,,,,,
,,10.648,2.718,-0.182,9.106,,,,,,
,,10.669,2.775,-0.206,9.106,,,,,,
,,10.689,2.641,-0.301,9.321,,,,,,
,,10.709,2.751,-0.273,9.245,,,,,,
,,10.730,2.881,-0.225,9.006,,,,,,
,,10.750,2.881,-0.215,9.073,,,,,,
,,10.770,2.775,-0.258,9.355,,,,,,
,,10.791,2.775,-0.258,9.202,,,,,,
